Mobile Phone Name,Offer Price,Mobile Phone Link
"SAMSUNG Galaxy S25 Ultra 5G (Titanium Whitesilver, 512 GB)","1,29,999",https://www.flipkart.com/samsung-galaxy-s25-ultra-5g-titanium-whitesilver-512-gb/p/itm28d4275302a07?pid=MOBH8K8URFQT737M&lid=LSTMOBH8K8URFQT737MZHYHWJ&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_1&otracker=browse&fm=organic&iid=en_xweKj-eOFTNBKMFyDJkkvxPM78HgcKyW655qy0dNBVz6IL2DADSpaT82IyWFdv06vN7KCxpZkL1RXeZOcio-tPUFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=xqjh923adc0000001738755676340
"SAMSUNG Galaxy S25 5G (Icyblue, 256 GB)","? 80,999",https://www.flipkart.com/samsung-galaxy-s25-5g-icyblue-256-gb/p/itm859ebd4b08d31?pid=MOBH8K8UA9ZHYYXG&lid=LSTMOBH8K8UA9ZHYYXGQKCNAJ&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_2&otracker=browse&fm=organic&iid=en_xweKj-eOFTNBKMFyDJkkvxPM78HgcKyW655qy0dNBVwrwf1YXl8UnDn_6acRuqV88nHwBpqowma01gal_-hDDg%3D%3D&ppt=None&ppn=None&ssid=xqjh923adc0000001738755676340
"POCO C75 5G (Aqua Bliss, 64 GB)","? 7,999",https://www.flipkart.com/poco-c75-5g-aqua-bliss-64-gb/p/itm10b3f6f1bc616?pid=MOBH7443MMBCWPPG&lid=LSTMOBH7443MMBCWPPGVOR2LC&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_3&otracker=browse&fm=organic&iid=f6ec057f-48a5-4cda-81e2-b35ade533561.MOBH7443MMBCWPPG.SEARCH&ppt=None&ppn=None&ssid=xqjh923adc0000001738755676340
"MOTOROLA g05 (Forest Green, 64 GB)","? 6,999",https://www.flipkart.com/motorola-g05-forest-green-64-gb/p/itme5ed06a5943b9?pid=MOBH5F3Q2SGMAFHR&lid=LSTMOBH5F3Q2SGMAFHR6YHZS0&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_4&otracker=browse&fm=organic&iid=f6ec057f-48a5-4cda-81e2-b35ade533561.MOBH5F3Q2SGMAFHR.SEARCH&ppt=None&ppn=None&ssid=xqjh923adc0000001738755676340
"Motorola Edge 50 Fusion (Marshmallow Blue, 128 GB)","? 22,999",https://www.flipkart.com/motorola-edge-50-fusion-marshmallow-blue-128-gb/p/itmf88eea5799a27?pid=MOBGXTYZEZSZQE7W&lid=LSTMOBGXTYZEZSZQE7WIBXLBI&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_5&otracker=browse&fm=organic&iid=f6ec057f-48a5-4cda-81e2-b35ade533561.MOBGXTYZEZSZQE7W.SEARCH&ppt=None&ppn=None&ssid=xqjh923adc0000001738755676340
"SAMSUNG Galaxy S25 5G (Silver Shadow, 256 GB)","? 80,999",https://www.flipkart.com/samsung-galaxy-s25-5g-silver-shadow-256-gb/p/itmab25415a98d9f?pid=MOBH8K8UH9XHPVGQ&lid=LSTMOBH8K8UH9XHPVGQEUE4JY&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_6&otracker=browse&fm=organic&iid=en_xweKj-eOFTNBKMFyDJkkvxPM78HgcKyW655qy0dNBVw3J2ijTXlmGl7miItiBmBU3FHfyR5giFEDv23d8sT8j04IsYyWu-Pj9cxFjFAoaLk%3D&ppt=None&ppn=None&ssid=xqjh923adc0000001738755676340
"Motorola G85 5G (Viva Magenta, 128 GB)","? 17,999",https://www.flipkart.com/motorola-g85-5g-viva-magenta-128-gb/p/itme67cc98574a7f?pid=MOBH35ZQFGVJFJ3W&lid=LSTMOBH35ZQFGVJFJ3WA8SV9M&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_7&otracker=browse&fm=organic&iid=f6ec057f-48a5-4cda-81e2-b35ade533561.MOBH35ZQFGVJFJ3W.SEARCH&ppt=None&ppn=None&ssid=xqjh923adc0000001738755676340
"Motorola Edge 50 Fusion (Hot Pink, 256 GB)","? 24,999",https://www.flipkart.com/motorola-edge-50-fusion-hot-pink-256-gb/p/itmfee7de3c2e095?pid=MOBGXTYZZBUPYFEC&lid=LSTMOBGXTYZZBUPYFECU3ECBQ&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_8&otracker=browse&fm=organic&iid=f6ec057f-48a5-4cda-81e2-b35ade533561.MOBGXTYZZBUPYFEC.SEARCH&ppt=None&ppn=None&ssid=xqjh923adc0000001738755676340
"Motorola G85 5G (Olive Green, 256 GB)","? 19,999",https://www.flipkart.com/motorola-g85-5g-olive-green-256-gb/p/itm1c4b849213a0e?pid=MOBHY9PQ7B5GYJRX&lid=LSTMOBHY9PQ7B5GYJRXZQFQGK&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_9&otracker=browse&fm=organic&iid=f6ec057f-48a5-4cda-81e2-b35ade533561.MOBHY9PQ7B5GYJRX.SEARCH&ppt=None&ppn=None&ssid=xqjh923adc0000001738755676340
"Motorola G85 5G (Olive Green, 128 GB)","? 17,999",https://www.flipkart.com/motorola-g85-5g-olive-green-128-gb/p/itm1c4b849213a0e?pid=MOBHY9PQMNCMDVCD&lid=LSTMOBHY9PQMNCMDVCDI6UUHQ&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_10&otracker=browse&fm=organic&iid=f6ec057f-48a5-4cda-81e2-b35ade533561.MOBHY9PQMNCMDVCD.SEARCH&ppt=None&ppn=None&ssid=xqjh923adc0000001738755676340
"SAMSUNG Galaxy S25 Ultra 5G (Titanium Black, 512 GB)","? 1,29,999",https://www.flipkart.com/samsung-galaxy-s25-ultra-5g-titanium-black-512-gb/p/itm09d676ceb930d?pid=MOBH8K8UZPUKTTXK&lid=LSTMOBH8K8UZPUKTTXKDDLTOJ&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_11&otracker=browse&fm=organic&iid=en_xweKj-eOFTNBKMFyDJkkvxPM78HgcKyW655qy0dNBVw0VATfLn8nap2cN0a7Hxo2I-72U8TIXwLVOO0bnNViRIQEIsITtCzc4bHaOMTqL08%3D&ppt=None&ppn=None&ssid=xqjh923adc0000001738755676340
"SAMSUNG Galaxy S25 5G (Mint, 256 GB)","? 80,999",https://www.flipkart.com/samsung-galaxy-s25-5g-mint-256-gb/p/itm2196514814ed7?pid=MOBH8K8UQ5RYGUPF&lid=LSTMOBH8K8UQ5RYGUPFAUX9LE&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_12&otracker=browse&fm=organic&iid=en_xweKj-eOFTNBKMFyDJkkvxPM78HgcKyW655qy0dNBVxQM3dVsK3jkDeUAXSS_TtJs7iW1Nnu8zg45BzK5tn0M0Ksf8s6I2Oz2HOgbXTo_9U%3D&ppt=None&ppn=None&ssid=xqjh923adc0000001738755676340
"CMF by Nothing Phone 1 (Black, 128 GB)","? 14,999",https://www.flipkart.com/cmf-nothing-phone-1-black-128-gb/p/itmeef68c7ce70bf?pid=MOBHYBQTGGEGGA2B&lid=LSTMOBHYBQTGGEGGA2BCRTZZY&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_13&otracker=browse&fm=organic&iid=f6ec057f-48a5-4cda-81e2-b35ade533561.MOBHYBQTGGEGGA2B.SEARCH&ppt=None&ppn=None&ssid=xqjh923adc0000001738755676340
"Motorola Edge 50 Fusion (Marshmallow Blue, 256 GB)","? 24,999",https://www.flipkart.com/motorola-edge-50-fusion-marshmallow-blue-256-gb/p/itmf88eea5799a27?pid=MOBGXTYZBAS4VM8K&lid=LSTMOBGXTYZBAS4VM8KX6T7CM&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_14&otracker=browse&fm=organic&iid=f6ec057f-48a5-4cda-81e2-b35ade533561.MOBGXTYZBAS4VM8K.SEARCH&ppt=None&ppn=None&ssid=xqjh923adc0000001738755676340
"Motorola G85 5G (Cobalt Blue, 256 GB)","? 19,999",https://www.flipkart.com/motorola-g85-5g-cobalt-blue-256-gb/p/itm3c5fb4da1bfe6?pid=MOBHY9PQX72GHDRN&lid=LSTMOBHY9PQX72GHDRNAASJKM&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_15&otracker=browse&fm=organic&iid=f6ec057f-48a5-4cda-81e2-b35ade533561.MOBHY9PQX72GHDRN.SEARCH&ppt=None&ppn=None&ssid=xqjh923adc0000001738755676340
"Motorola Edge 50 Fusion (Forest Blue, 256 GB)","? 24,999",https://www.flipkart.com/motorola-edge-50-fusion-forest-blue-256-gb/p/itm32aa01db0debf?pid=MOBGXTYZZEW8GZE6&lid=LSTMOBGXTYZZEW8GZE6FYRQA2&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_16&otracker=browse&fm=organic&iid=f6ec057f-48a5-4cda-81e2-b35ade533561.MOBGXTYZZEW8GZE6.SEARCH&ppt=None&ppn=None&ssid=xqjh923adc0000001738755676340
"SAMSUNG Galaxy S25 Ultra 5G (Titanium Gray, 512 GB)","? 1,29,999",https://www.flipkart.com/samsung-galaxy-s25-ultra-5g-titanium-gray-512-gb/p/itmc267de29a3b0b?pid=MOBH8K8U2FZXCP2R&lid=LSTMOBH8K8U2FZXCP2R0C4UGD&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_17&otracker=browse&fm=organic&iid=en_xweKj-eOFTNBKMFyDJkkvxPM78HgcKyW655qy0dNBVxj8SPsMhwcr7xbOd6uXzjT_P9ZnB-q9iESL_XnOmzY6uo15S0a61Wzzbg3qNOknKY%3D&ppt=None&ppn=None&ssid=xqjh923adc0000001738755676340
"SAMSUNG Galaxy S25 Ultra 5G (Titanium Silverblue, 512 GB)","? 1,29,999",https://www.flipkart.com/samsung-galaxy-s25-ultra-5g-titanium-silverblue-512-gb/p/itm7d0e1ef71672e?pid=MOBH8K8UVQCSQE3Z&lid=LSTMOBH8K8UVQCSQE3Z5XVS59&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_18&otracker=browse&fm=organic&iid=en_xweKj-eOFTNBKMFyDJkkvxPM78HgcKyW655qy0dNBVz-DJZ5ICiC410WARn0P9_YCyPYGYfTHAXl-_xrUTXhJkhz9c-MSIoFe8xMxkfU6dM%3D&ppt=None&ppn=None&ssid=xqjh923adc0000001738755676340
"Motorola Edge 50 Fusion (Forest Green, 256 GB)","? 24,999",https://www.flipkart.com/motorola-edge-50-fusion-forest-green-256-gb/p/itm44a2f982e2d64?pid=MOBHYVFV3RNAGXF6&lid=LSTMOBHYVFV3RNAGXF6WU7HJD&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_19&otracker=browse&fm=organic&iid=f6ec057f-48a5-4cda-81e2-b35ade533561.MOBHYVFV3RNAGXF6.SEARCH&ppt=None&ppn=None&ssid=xqjh923adc0000001738755676340
"MOTOROLA g35 5G (Leaf Green, 128 GB)","? 9,999",https://www.flipkart.com/motorola-g35-5g-leaf-green-128-gb/p/itma3ca32cc93927?pid=MOBH3YGPQHRSNQED&lid=LSTMOBH3YGPQHRSNQEDLDGOMQ&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_20&otracker=browse&fm=organic&iid=f6ec057f-48a5-4cda-81e2-b35ade533561.MOBH3YGPQHRSNQED.SEARCH&ppt=None&ppn=None&ssid=xqjh923adc0000001738755676340
"SAMSUNG Galaxy S25 Plus 5G (Navy, 512 GB)","? 99,999",https://www.flipkart.com/samsung-galaxy-s25-plus-5g-navy-512-gb/p/itm88c024d0e31d2?pid=MOBH8K8U246X3MQN&lid=LSTMOBH8K8U246X3MQNF3SC3L&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_21&otracker=browse&fm=organic&iid=en_xweKj-eOFTNBKMFyDJkkvxPM78HgcKyW655qy0dNBVxB3YKLrhksapOIiMaukijnHAl60UQbEpM-LIzgr76TT4nfEY2D5bWfIUmTlXs_oiU%3D&ppt=None&ppn=None&ssid=xqjh923adc0000001738755676340
"Motorola Edge 50 Fusion (Forest Blue, 128 GB)","? 22,999",https://www.flipkart.com/motorola-edge-50-fusion-forest-blue-128-gb/p/itm32aa01db0debf?pid=MOBGXTYZMJK85GFG&lid=LSTMOBGXTYZMJK85GFGDBLBYG&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_22&otracker=browse&fm=organic&iid=f6ec057f-48a5-4cda-81e2-b35ade533561.MOBGXTYZMJK85GFG.SEARCH&ppt=None&ppn=None&ssid=xqjh923adc0000001738755676340
"MOTOROLA g35 5G (Midnight Black, 128 GB)","? 9,999",https://www.flipkart.com/motorola-g35-5g-midnight-black-128-gb/p/itm015cbd184b0eb?pid=MOBH3YGPTSA4SZQF&lid=LSTMOBH3YGPTSA4SZQF0KIKVP&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_23&otracker=browse&fm=organic&iid=f6ec057f-48a5-4cda-81e2-b35ade533561.MOBH3YGPTSA4SZQF.SEARCH&ppt=None&ppn=None&ssid=xqjh923adc0000001738755676340
"Motorola Edge 50 Fusion (Hot Pink, 128 GB)","? 22,999",https://www.flipkart.com/motorola-edge-50-fusion-hot-pink-128-gb/p/itmfee7de3c2e095?pid=MOBGXTYZCQSXJPC2&lid=LSTMOBGXTYZCQSXJPC2BPJMUL&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_24&otracker=browse&fm=organic&iid=f6ec057f-48a5-4cda-81e2-b35ade533561.MOBGXTYZCQSXJPC2.SEARCH&ppt=None&ppn=None&ssid=xqjh923adc0000001738755676340
"SAMSUNG Galaxy S25 5G (Icyblue, 256 GB)","? 80,999",https://www.flipkart.com/samsung-galaxy-s25-5g-icyblue-256-gb/p/itm859ebd4b08d31?pid=MOBH8K8UA9ZHYYXG&lid=LSTMOBH8K8UA9ZHYYXGQKCNAJ&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_25&otracker=browse&fm=organic&iid=en_cURbBDPiemIjdLGZIXMbYXxSIaiuRwlWYowNnFBnf7W0GKQcYKNjvz5U45Moitq6SjKqiVmQf7L6yWpPooIZ4w%3D%3D&ppt=None&ppn=None&ssid=z7rx1boka80000001738755676959
"MOTOROLA g05 (Plum Red, 64 GB)","? 6,999",https://www.flipkart.com/motorola-g05-plum-red-64-gb/p/itm87af8109384d4?pid=MOBH5F3QKFHEGBFS&lid=LSTMOBH5F3QKFHEGBFSYF5LHW&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_26&otracker=browse&fm=organic&iid=f08c88ff-48bc-45f4-bd68-1ae1656bc811.MOBH5F3QKFHEGBFS.SEARCH&ppt=None&ppn=None&ssid=z7rx1boka80000001738755676959
"SAMSUNG Galaxy S25 Ultra 5G (Titanium Whitesilver, 512 GB)","? 1,29,999",https://www.flipkart.com/samsung-galaxy-s25-ultra-5g-titanium-whitesilver-512-gb/p/itm28d4275302a07?pid=MOBH8K8URFQT737M&lid=LSTMOBH8K8URFQT737MZHYHWJ&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_27&otracker=browse&fm=organic&iid=en_cURbBDPiemIjdLGZIXMbYXxSIaiuRwlWYowNnFBnf7Xla8y9Uk_8uPI--_Q7sJAh0H6L6xPBVfCssG0mIB5Q9fUFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=z7rx1boka80000001738755676959
"SAMSUNG Galaxy S25 5G (Silver Shadow, 256 GB)","? 80,999",https://www.flipkart.com/samsung-galaxy-s25-5g-silver-shadow-256-gb/p/itmab25415a98d9f?pid=MOBH8K8UH9XHPVGQ&lid=LSTMOBH8K8UH9XHPVGQEUE4JY&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_28&otracker=browse&fm=organic&iid=en_cURbBDPiemIjdLGZIXMbYXxSIaiuRwlWYowNnFBnf7XaB4gcURWYY9eJyCg5Q67B7z5YVscqT93mfKOhjr1S6A%3D%3D&ppt=None&ppn=None&ssid=z7rx1boka80000001738755676959
"realme P1 5G (Phoenix Red, 128 GB)","? 13,999",https://www.flipkart.com/realme-p1-5g-phoenix-red-128-gb/p/itmae4447062b5b5?pid=MOBGYQ6BXSENZRV3&lid=LSTMOBGYQ6BXSENZRV3XKXGCB&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_29&otracker=browse&fm=organic&iid=f08c88ff-48bc-45f4-bd68-1ae1656bc811.MOBGYQ6BXSENZRV3.SEARCH&ppt=None&ppn=None&ssid=z7rx1boka80000001738755676959
"realme 14 Pro 5G (Jaipur Pink, 128 GB)","? 24,999",https://www.flipkart.com/realme-14-pro-5g-jaipur-pink-128-gb/p/itm654c5269620d2?pid=MOBH84ZXDEGQ7XUF&lid=LSTMOBH84ZXDEGQ7XUFK5JGC2&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_30&otracker=browse&fm=organic&iid=f08c88ff-48bc-45f4-bd68-1ae1656bc811.MOBH84ZXDEGQ7XUF.SEARCH&ppt=None&ppn=None&ssid=z7rx1boka80000001738755676959
"SAMSUNG Galaxy S25 Ultra 5G (Titanium Black, 512 GB)","? 1,29,999",https://www.flipkart.com/samsung-galaxy-s25-ultra-5g-titanium-black-512-gb/p/itm09d676ceb930d?pid=MOBH8K8UZPUKTTXK&lid=LSTMOBH8K8UZPUKTTXKDDLTOJ&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_31&otracker=browse&fm=organic&iid=en_cURbBDPiemIjdLGZIXMbYXxSIaiuRwlWYowNnFBnf7XhzdgevVBsNgDz3L9iRCfVbZPpQcR8kOB5eigl1rzWTw%3D%3D&ppt=None&ppn=None&ssid=z7rx1boka80000001738755676959
"SAMSUNG Galaxy S25 5G (Mint, 256 GB)","? 80,999",https://www.flipkart.com/samsung-galaxy-s25-5g-mint-256-gb/p/itm2196514814ed7?pid=MOBH8K8UQ5RYGUPF&lid=LSTMOBH8K8UQ5RYGUPFAUX9LE&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_32&otracker=browse&fm=organic&iid=en_cURbBDPiemIjdLGZIXMbYXxSIaiuRwlWYowNnFBnf7WvJLdFhNs11Uex8GUgohARMr-tI5QXDbYWVO4kXDm9Qw%3D%3D&ppt=None&ppn=None&ssid=z7rx1boka80000001738755676959
"Motorola G85 5G (Cobalt Blue, 128 GB)","? 17,999",https://www.flipkart.com/motorola-g85-5g-cobalt-blue-128-gb/p/itm3c5fb4da1bfe6?pid=MOBHY9PQ7FGZKVDK&lid=LSTMOBHY9PQ7FGZKVDK4B1TIW&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_33&otracker=browse&fm=organic&iid=f08c88ff-48bc-45f4-bd68-1ae1656bc811.MOBHY9PQ7FGZKVDK.SEARCH&ppt=None&ppn=None&ssid=z7rx1boka80000001738755676959
"CMF by Nothing Phone 1 (Black, 128 GB)","? 16,999",https://www.flipkart.com/cmf-nothing-phone-1-black-128-gb/p/itmeef68c7ce70bf?pid=MOBHYBQTSE9EKVBT&lid=LSTMOBHYBQTSE9EKVBT5UGTRK&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_34&otracker=browse&fm=organic&iid=f08c88ff-48bc-45f4-bd68-1ae1656bc811.MOBHYBQTSE9EKVBT.SEARCH&ppt=None&ppn=None&ssid=z7rx1boka80000001738755676959
"SAMSUNG Galaxy S25 Ultra 5G (Titanium Gray, 512 GB)","? 1,29,999",https://www.flipkart.com/samsung-galaxy-s25-ultra-5g-titanium-gray-512-gb/p/itmc267de29a3b0b?pid=MOBH8K8U2FZXCP2R&lid=LSTMOBH8K8U2FZXCP2R0C4UGD&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_35&otracker=browse&fm=organic&iid=en_cURbBDPiemIjdLGZIXMbYXxSIaiuRwlWYowNnFBnf7WyhCbZFt7Wy40s9KAEDMkNX23v3aPt9gBHaZc4RkOtHQ%3D%3D&ppt=None&ppn=None&ssid=z7rx1boka80000001738755676959
"Motorola g64 5G (Ice Lilac, 128 GB)","? 14,999",https://www.flipkart.com/motorola-g64-5g-ice-lilac-128-gb/p/itm36e3ccb6c9dee?pid=MOBGY2JUZHAXQ8ZG&lid=LSTMOBGY2JUZHAXQ8ZGKQ5SOK&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_36&otracker=browse&fm=organic&iid=f08c88ff-48bc-45f4-bd68-1ae1656bc811.MOBGY2JUZHAXQ8ZG.SEARCH&ppt=None&ppn=None&ssid=z7rx1boka80000001738755676959
"SAMSUNG Galaxy S25 Ultra 5G (Titanium Silverblue, 512 GB)","? 1,29,999",https://www.flipkart.com/samsung-galaxy-s25-ultra-5g-titanium-silverblue-512-gb/p/itm7d0e1ef71672e?pid=MOBH8K8UVQCSQE3Z&lid=LSTMOBH8K8UVQCSQE3Z5XVS59&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_37&otracker=browse&fm=organic&iid=en_cURbBDPiemIjdLGZIXMbYXxSIaiuRwlWYowNnFBnf7XJtuGC7rDPinnM85csHeAqMp9pxExcnsOESPKZHfplwA%3D%3D&ppt=None&ppn=None&ssid=z7rx1boka80000001738755676959
"SAMSUNG Galaxy S25 Plus 5G (Navy, 512 GB)","? 99,999",https://www.flipkart.com/samsung-galaxy-s25-plus-5g-navy-512-gb/p/itm88c024d0e31d2?pid=MOBH8K8U246X3MQN&lid=LSTMOBH8K8U246X3MQNF3SC3L&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_38&otracker=browse&fm=organic&iid=en_cURbBDPiemIjdLGZIXMbYXxSIaiuRwlWYowNnFBnf7W5QcrOR5-ot1VOtIL-gmLSlpEpPXDnMz4xV-pmccsqrQ%3D%3D&ppt=None&ppn=None&ssid=z7rx1boka80000001738755676959
"realme C63 5G Charger in the Box (Forest Green, 128 GB)","? 12,999",https://www.flipkart.com/realme-c63-5g-charger-box-forest-green-128-gb/p/itm10b8f5cccfadd?pid=MOBH3DZQ3GCQEYUC&lid=LSTMOBH3DZQ3GCQEYUCLNXQPP&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_39&otracker=browse&fm=organic&iid=f08c88ff-48bc-45f4-bd68-1ae1656bc811.MOBH3DZQ3GCQEYUC.SEARCH&ppt=None&ppn=None&ssid=z7rx1boka80000001738755676959
"realme C63 5G Charger in the Box (Forest Green, 128 GB)","? 11,999",https://www.flipkart.com/realme-c63-5g-charger-box-forest-green-128-gb/p/itm10b8f5cccfadd?pid=MOBH3DZQ4JE2GVAR&lid=LSTMOBH3DZQ4JE2GVARNDPH9F&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_40&otracker=browse&fm=organic&iid=f08c88ff-48bc-45f4-bd68-1ae1656bc811.MOBH3DZQ4JE2GVAR.SEARCH&ppt=None&ppn=None&ssid=z7rx1boka80000001738755676959
"CMF by Nothing Phone 1 (Blue, 128 GB)","? 14,999",https://www.flipkart.com/cmf-nothing-phone-1-blue-128-gb/p/itmeef68c7ce70bf?pid=MOBHYBQTMNNEFQMC&lid=LSTMOBHYBQTMNNEFQMCGO0C1P&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_41&otracker=browse&fm=organic&iid=f08c88ff-48bc-45f4-bd68-1ae1656bc811.MOBHYBQTMNNEFQMC.SEARCH&ppt=None&ppn=None&ssid=z7rx1boka80000001738755676959
